reserve,round,date,lizard_num,count,lifestage
Rancho Marino,5,6/8/21,7,3,nymphal
Rancho Marino,5,6/8/21,8,11,larval
Rancho Marino,5,6/8/21,8,8,nymphal
Rancho Marino,5,6/8/21,9,2,larval
Rancho Marino,5,6/8/21,9,2,nymphal
Rancho Marino,5,6/8/21,10,1,larval
Rancho Marino,5,6/8/21,10,4,nymphal
Rancho Marino,5,6/8/21,11,0,larval
Rancho Marino,5,6/8/21,11,0,nymphal
Rancho Marino,5,6/8/21,12,1,larval
Rancho Marino,5,6/8/21,12,0,nymphal
Rancho Marino,5,6/8/21,13,0,larval
Rancho Marino,5,6/8/21,13,2,nymphal
Rancho Marino,5,6/8/21,14,0,larval
Rancho Marino,5,6/8/21,14,3,nymphal
Rancho Marino,5,6/8/21,15,0,larval
Rancho Marino,5,6/8/21,15,7,nymphal
Sedgwick,5,6/9/21,1,0,larval
Sedgwick,5,6/9/21,1,0,nymphal
Sedgwick,5,6/9/21,2,0,larval
Sedgwick,5,6/9/21,2,1,nymphal
Sedgwick,5,6/9/21,3,1,larval
Sedgwick,5,6/9/21,3,2,nymphal
Sedgwick,5,6/9/21,4,0,larval
Sedgwick,5,6/9/21,4,1,nymphal
Sedgwick,5,6/9/21,5,0,larval
Sedgwick,5,6/9/21,5,1,nymphal
Sedgwick,5,6/9/21,6,0,larval
Sedgwick,5,6/9/21,6,2,nymphal
Sedgwick,5,6/9/21,7,0,larval
Sedgwick,5,6/9/21,7,0,nymphal
Sedgwick,5,6/9/21,8,1,larval
Sedgwick,5,6/9/21,8,1,nymphal
Sedgwick,5,6/9/21,9,0,larval
Sedgwick,5,6/9/21,9,0,nymphal
Sedgwick,5,6/9/21,10,0,larval
Sedgwick,5,6/9/21,10,1,nymphal
Sedgwick,5,6/9/21,11,0,larval
Sedgwick,5,6/9/21,11,0,nymphal
Sedgwick,5,6/9/21,12,11,larval
Sedgwick,5,6/9/21,12,0,nymphal
Coal Oil Point,5,6/10/21,1,0,larval
Coal Oil Point,5,6/10/21,1,0,nymphal
Coal Oil Point,5,6/10/21,2,0,larval
Coal Oil Point,5,6/10/21,2,0,nymphal
Stunt Ranch,5,6/11/21,1,0,larval
Stunt Ranch,5,6/11/21,1,0,nymphal
Stunt Ranch,5,6/11/21,2,0,larval
Stunt Ranch,5,6/11/21,2,0,nymphal
Stunt Ranch,5,6/11/21,3,0,larval
Stunt Ranch,5,6/11/21,3,2,nymphal
Stunt Ranch,5,6/11/21,4,0,larval
Stunt Ranch,5,6/11/21,4,0,nymphal
Stunt Ranch,5,6/11/21,5,0,larval
Stunt Ranch,5,6/11/21,5,3,nymphal
Stunt Ranch,5,6/11/21,6,2,larval
Stunt Ranch,5,6/11/21,6,1,nymphal
Stunt Ranch,5,6/11/21,7,0,larval
Stunt Ranch,5,6/11/21,7,2,nymphal
Stunt Ranch,5,6/11/21,8,0,larval
Stunt Ranch,5,6/11/21,8,0,nymphal
Stunt Ranch,5,6/11/21,9,0,larval
Stunt Ranch,5,6/11/21,9,1,nymphal
Stunt Ranch,5,6/11/21,10,0,larval
Stunt Ranch,5,6/11/21,10,0,nymphal
Stunt Ranch,5,6/11/21,11,0,larval
Stunt Ranch,5,6/11/21,11,3,nymphal
Stunt Ranch,5,6/11/21,12,0,larval
Stunt Ranch,5,6/11/21,12,1,nymphal
Stunt Ranch,5,6/11/21,13,0,larval
Stunt Ranch,5,6/11/21,13,1,nymphal
Stunt Ranch,5,6/11/21,14,0,larval
Stunt Ranch,5,6/11/21,14,0,nymphal
Stunt Ranch,5,6/11/21,15,0,larval
Stunt Ranch,5,6/11/21,15,1,nymphal
Santa Cruz Island,5,6/12/21,1,2,larval
Santa Cruz Island,5,6/12/21,1,3,nymphal
Santa Cruz Island,5,6/12/21,2,0,larval
Santa Cruz Island,5,6/12/21,2,1,nymphal
Santa Cruz Island,5,6/12/21,3,0,larval
